Student_ID,First_Name,Last_Name,Gender,Age,Department,Semester,Academic_Year,Financial_Aid,International,Physics,History,Algorithms,Business,Chemistry,Arts,Database,Semester_Average,Attendance_Perc,At_Risk,Languages,Statistics,Biology,Literature,Psychology,Economics,Programming,Mathematics
S10003,Oliver,Jones,Male,20,Psychology,1,2020-2021,False,True,60.5,60.3,,,,,,57.6,71.8,False,57.3,56.2,,53.0,,,58.2,
S10003,Oliver,Jones,Male,20,Psychology,2,2020-2021,False,True,,,,53.7,,48.4,,54.1,75.4,False,,,57.0,54.0,,,,57.2
S10003,Oliver,Jones,Male,20,Psychology,3,2021-2022,False,True,,,54.5,54.0,,,,52.5,74.5,False,51.7,,,,53.6,,48.6,
S10003,Oliver,Jones,Male,20,Psychology,4,2021-2022,False,True,57.0,55.3,,57.7,,,,58.3,65.7,False,,,56.5,,,,65.1,
S10004,Noah,Garcia,Male,19,Psychology,1,2018-2019,False,False,76.3,,,,63.0,,,66.6,73.7,False,65.5,,63.8,,,,,64.3
S10004,Noah,Garcia,Male,19,Psychology,2,2018-2019,False,False,,,59.5,71.0,67.8,,,67.2,72.5,False,,,68.0,69.7,,,,
S10004,Noah,Garcia,Male,19,Psychology,3,2019-2020,False,False,61.5,,,,61.2,59.0,66.9,64.7,71.7,False,75.0,,64.5,,,,,
S10004,Noah,Garcia,Male,19,Psychology,4,2019-2020,False,False,,,,,,,59.4,63.5,77.9,False,64.3,71.8,,66.4,58.7,,,60.1
S10005,Oliver,Jones,Male,25,Business,1,2018-2019,False,True,,78.2,,83.4,70.7,,68.9,76.8,79.8,False,,77.8,80.8,78.0,,,,
S10005,Oliver,Jones,Male,25,Business,2,2018-2019,False,True,73.5,,78.1,,70.3,,,76.7,87.4,False,78.6,78.4,,,,,78.2,79.5
S10005,Oliver,Jones,Male,25,Business,3,2019-2020,False,True,72.0,70.9,,80.2,,,79.3,77.0,89.9,False,86.2,,,,,,73.3,
S10005,Oliver,Jones,Male,25,Business,4,2019-2020,False,True,,,81.0,,82.7,81.7,79.0,80.6,84.7,False,,72.8,,,,,86.4,
S10006,Isabella,Jones,Female,21,Mathematics,1,2018-2019,True,False,51.6,57.4,55.3,,57.1,,51.2,54.5,79.5,False,,,,,,,,
S10006,Isabella,Jones,Female,21,Mathematics,2,2018-2019,True,False,,63.0,,,50.3,55.8,69.3,57.6,77.8,False,,,58.8,,,54.4,51.4,
S10006,Isabella,Jones,Female,21,Mathematics,3,2019-2020,True,False,,51.5,,,48.1,58.1,,54.5,73.1,False,,55.3,54.6,,,59.3,,
S10006,Isabella,Jones,Female,21,Mathematics,4,2019-2020,True,False,,,56.6,49.5,,,57.6,55.3,76.1,False,,,,,56.8,51.3,,60.0
S10007,Liam,Brown,Male,24,Biology,1,2021-2022,False,True,,,,59.6,,,,65.7,75.4,False,70.7,,,68.1,67.1,58.4,,70.5
S10007,Liam,Brown,Male,24,Biology,2,2021-2022,False,True,,67.8,,,67.8,,68.1,71.0,83.4,False,84.5,70.0,,71.0,,67.8,,
S10007,Liam,Brown,Male,24,Biology,3,2022-2023,False,True,64.1,62.8,,76.8,69.1,,,66.2,70.8,False,,65.7,61.4,,,,63.7,
S10007,Liam,Brown,Male,24,Biology,4,2022-2023,False,True,,70.7,65.6,,,62.9,68.7,65.0,74.7,False,,,,57.2,,,,
S10008,William,Garcia,Male,22,Mathematics,1,2022-2023,True,True,,55.3,51.4,,51.8,,56.2,54.6,85.8,False,,,58.5,,,,,
S10008,William,Garcia,Male,22,Mathematics,2,2022-2023,True,True,44.9,,,,56.0,59.3,51.8,53.6,74.5,False,,,,,,,51.1,58.2
S10008,William,Garcia,Male,22,Mathematics,3,2023-2024,True,True,,53.4,,59.4,52.7,,,54.0,83.9,False,,,57.6,51.8,,,,49.1
S10008,William,Garcia,Male,22,Mathematics,4,2023-2024,True,True,,57.1,,60.2,,,,56.5,72.6,False,65.7,,47.5,,,59.7,,48.8
S10009,Olivia,Davis,Female,22,Business,1,2019-2020,False,True,,79.3,85.0,,,82.5,78.2,82.3,72.7,False,,,,86.7,,,,
S10009,Olivia,Davis,Female,22,Business,2,2019-2020,False,True,,,81.5,,,,80.6,80.5,89.6,False,77.7,91.0,75.7,,,76.6,,
S10009,Olivia,Davis,Female,22,Business,3,2020-2021,False,True,90.0,83.8,,,88.6,82.9,77.9,83.4,85.9,False,,,,,75.6,,,85.1
S10009,Olivia,Davis,Female,22,Business,4,2020-2021,False,True,,,,80.9,,,83.4,83.5,99.6,False,,90.7,76.6,,,,86.1,83.2
S10010,Noah,Smith,Female,24,Biology,1,2018-2019,True,False,,,35.5,,,36.2,,37.8,71.1,True,35.7,,37.9,,41.6,,37.6,40.0
S10010,Noah,Smith,Female,24,Biology,2,2018-2019,True,False,,40.2,35.2,41.8,,42.7,,40.6,62.7,True,43.1,40.4,,,,,,
S10010,Noah,Smith,Female,24,Biology,3,2019-2020,True,False,,35.8,42.4,,,,,39.5,73.2,True,,41.7,,,38.5,,39.2,
S10010,Noah,Smith,Female,24,Biology,4,2019-2020,True,False,,,,44.1,37.6,35.7,,39.3,70.9,True,,,,,,,41.4,37.5
S10011,Noah,Hernandez,Female,24,Engineering,1,2019-2020,False,True,,,78.2,83.1,,,,78.0,88.8,False,76.7,75.1,80.0,,76.0,77.1,,
S10011,Noah,Hernandez,Female,24,Engineering,2,2019-2020,False,True,,,,82.4,80.6,,71.6,77.4,88.9,False,72.5,87.1,,,,,,70.5
S10011,Noah,Hernandez,Female,24,Engineering,3,2020-2021,False,True,,,73.2,72.1,,77.0,,76.6,81.7,False,76.5,81.5,,,75.9,,79.7,
S10011,Noah,Hernandez,Female,24,Engineering,4,2020-2021,False,True,,,,75.0,,,,75.6,87.0,False,,77.8,,72.5,73.8,78.7,,
S10012,Noah,Lopez,Female,24,Arts,1,2021-2022,False,True,,,,,,,49.6,53.8,74.8,False,,58.0,,57.2,54.4,,,49.8
S10012,Noah,Lopez,Female,24,Arts,2,2021-2022,False,True,,,64.2,58.4,,,,59.3,70.9,False,56.7,,,,61.1,,,56.0
S10012,Noah,Lopez,Female,24,Arts,3,2022-2023,False,True,,62.4,,,,64.5,,58.2,77.9,False,56.7,52.7,59.4,,,56.3,,55.4
S10012,Noah,Lopez,Female,24,Arts,4,2022-2023,False,True,,,,,56.9,60.2,57.9,58.2,72.0,False,,54.8,,61.3,,,,
S10013,Olivia,Rodriguez,Female,19,Computer Science,1,2018-2019,True,True,,,78.3,68.5,,,81.8,72.0,91.5,False,62.2,70.4,,,,70.8,71.9,
S10013,Olivia,Rodriguez,Female,19,Computer Science,2,2018-2019,True,True,63.8,67.5,,,56.1,,67.7,64.3,82.6,False,,62.6,,,,,68.0,64.1
S10013,Olivia,Rodriguez,Female,19,Computer Science,3,2019-2020,True,True,,,77.3,70.0,,,,70.4,74.7,False,,,,,63.0,64.6,,76.9
S10013,Olivia,Rodriguez,Female,19,Computer Science,4,2019-2020,True,True,,74.2,,77.4,,75.0,,70.6,73.7,False,59.7,,67.7,,65.9,74.5,,
S10014,Amelia,Hernandez,Female,19,Psychology,1,2021-2022,False,False,,54.7,56.0,53.2,58.5,,,54.8,77.8,False,,,50.1,55.6,55.4,,,
S10014,Amelia,Hernandez,Female,19,Psychology,2,2021-2022,False,False,,49.8,,51.7,,,,55.8,75.8,False,59.0,47.7,,,61.8,57.1,,63.2
S10014,Amelia,Hernandez,Female,19,Psychology,3,2022-2023,False,False,,,64.2,,55.7,,,60.2,80.1,False,54.2,,,65.7,,,61.3,
S10014,Amelia,Hernandez,Female,19,Psychology,4,2022-2023,False,False,,62.3,60.7,58.8,,50.6,,55.3,65.0,False,58.6,,,46.6,,,,49.5
S10015,Isabella,Smith,Male,22,Economics,1,2018-2019,False,False,,52.7,,61.6,,54.4,68.8,62.0,77.9,False,,,,,,64.8,,69.4
S10015,Isabella,Smith,Male,22,Economics,2,2018-2019,False,False,,63.1,64.6,63.2,60.8,54.7,,59.8,73.4,False,,61.1,,,,50.9,,
S10015,Isabella,Smith,Male,22,Economics,3,2019-2020,False,False,,,56.3,,,,60.9,59.6,80.6,False,,58.7,,,,66.0,,56.0
S10015,Isabella,Smith,Male,22,Economics,4,2019-2020,False,False,,58.6,,,,56.1,55.3,57.8,88.0,False,,,60.7,58.5,,57.3,,
S10016,Olivia,Davis,Male,22,Business,1,2019-2020,True,False,,68.9,,,,,66.7,68.3,78.8,False,70.9,64.3,,,,,71.6,67.3
S10016,Olivia,Davis,Male,22,Business,2,2019-2020,True,False,76.1,74.7,,,,,,66.5,80.2,False,56.3,,,64.9,,60.3,,66.5
S10016,Olivia,Davis,Male,22,Business,3,2020-2021,True,False,,,69.4,,70.7,,,72.8,76.6,False,,,67.2,83.2,73.4,,,
S10016,Olivia,Davis,Male,22,Business,4,2020-2021,True,False,62.4,,,,,68.8,,63.4,89.9,False,,,,64.6,,64.0,60.7,59.8
S10017,Charlotte,Rodriguez,Male,20,Economics,1,2019-2020,True,False,,,79.9,,,,,82.1,90.2,False,,80.3,,,87.3,,87.5,75.6
S10017,Charlotte,Rodriguez,Male,20,Economics,2,2019-2020,True,False,,,73.0,,,,,77.4,97.0,False,79.0,,74.7,,75.5,,,84.6
S10017,Charlotte,Rodriguez,Male,20,Economics,3,2020-2021,True,False,76.7,,,,,,82.7,77.4,83.1,False,77.5,,,77.0,72.9,,,
S10017,Charlotte,Rodriguez,Male,20,Economics,4,2020-2021,True,False,,75.8,,,79.7,,,79.1,82.9,False,78.7,,,81.3,,80.2,,
S10018,James,Smith,Male,23,Biology,1,2019-2020,True,True,,,52.6,,61.2,57.9,,57.0,78.9,False,,,,60.0,49.1,,,61.2
S10018,James,Smith,Male,23,Biology,2,2019-2020,True,True,,49.3,,53.6,,48.4,,54.6,71.7,False,,,,,57.7,60.3,54.1,58.7
S10018,James,Smith,Male,23,Biology,3,2020-2021,True,True,,,,60.6,54.2,57.7,,54.7,74.3,False,51.4,,57.1,,49.1,,53.1,
S10018,James,Smith,Male,23,Biology,4,2020-2021,True,True,60.1,61.6,,,,54.6,,58.1,83.4,False,62.5,,,51.8,,,,
S10019,Oliver,Johnson,Male,25,Mathematics,1,2022-2023,True,True,31.5,,26.6,,28.8,28.6,,29.1,68.2,True,,30.1,32.5,,,25.6,,
S10019,Oliver,Johnson,Male,25,Mathematics,2,2022-2023,True,True,,27.6,27.2,27.5,31.3,,,28.9,64.3,True,,,,,,,30.9,
S10019,Oliver,Johnson,Male,25,Mathematics,3,2023-2024,True,True,,,40.0,,,34.0,,32.1,68.3,True,31.1,28.0,,,,,,27.5
S10019,Oliver,Johnson,Male,25,Mathematics,4,2023-2024,True,True,,27.6,,,19.4,,24.6,24.0,62.4,True,20.3,27.9,,,,,,
S10020,Charlotte,Davis,Male,22,Business,1,2022-2023,False,True,,,93.1,,87.9,,77.9,88.7,84.6,False,,,,,90.6,,92.8,90.1
S10020,Charlotte,Davis,Male,22,Business,2,2022-2023,False,True,,,86.9,,,94.7,,92.9,92.9,False,,,92.1,,,100.0,,90.6
S10020,Charlotte,Davis,Male,22,Business,3,2023-2024,False,True,93.1,,,,,84.7,90.2,87.9,92.3,False,,84.7,,,,86.6,,
S10020,Charlotte,Davis,Male,22,Business,4,2023-2024,False,True,91.3,,,,86.4,,,89.8,90.6,False,,,,94.1,,90.6,86.6,
S10021,Isabella,Lopez,Male,22,Psychology,1,2023-2024,False,False,52.7,,46.0,,55.0,52.5,,52.3,82.2,False,,,,48.4,57.4,54.4,,
S10021,Isabella,Lopez,Male,22,Psychology,2,2023-2024,False,False,44.4,,,52.0,,41.7,,49.6,67.2,True,58.1,50.3,,46.7,53.9,,,
S10021,Isabella,Lopez,Male,22,Psychology,3,2024-2025,False,False,,46.7,62.8,51.3,51.2,,54.2,53.0,75.2,False,,,53.0,,,,,51.7
S10021,Isabella,Lopez,Male,22,Psychology,4,2024-2025,False,False,,50.0,60.0,,,,,53.3,73.1,False,48.1,,,57.3,58.6,45.7,,
S10022,Isabella,Davis,Male,21,Chemistry,1,2018-2019,False,True,,,87.6,79.1,71.5,77.8,,78.2,79.2,False,,,,,,,74.9,
S10022,Isabella,Davis,Male,21,Chemistry,2,2018-2019,False,True,,,,73.5,,73.4,80.3,77.9,95.8,False,,,78.2,,84.0,,,
S10022,Isabella,Davis,Male,21,Chemistry,3,2019-2020,False,True,79.6,,,,,,,75.7,86.3,False,78.6,72.4,78.5,,66.4,,78.7,
S10022,Isabella,Davis,Male,21,Chemistry,4,2019-2020,False,True,,83.4,,78.6,74.4,,,84.0,87.8,False,85.5,,89.2,92.8,,,,
S10023,Oliver,Rodriguez,Male,21,Computer Science,1,2018-2019,True,True,,,,,63.6,,72.4,67.2,78.0,False,66.3,65.7,,,,63.7,71.3,
S10023,Oliver,Rodriguez,Male,21,Computer Science,2,2018-2019,True,True,,65.9,,74.7,,,,66.4,87.3,False,63.6,72.7,54.0,,,,,67.7
S10023,Oliver,Rodriguez,Male,21,Computer Science,3,2019-2020,True,True,,,67.4,60.9,,,,64.6,90.2,False,,,,66.1,,57.6,69.1,66.2
S10023,Oliver,Rodriguez,Male,21,Computer Science,4,2019-2020,True,True,,72.3,,,63.1,,71.1,71.0,84.3,False,75.1,,,,,73.4,,
S10024,Liam,Smith,Female,19,Business,1,2019-2020,False,False,,49.6,49.6,48.3,44.3,44.9,44.2,46.8,76.3,True,,,,,,,,
S10024,Liam,Smith,Female,19,Business,2,2019-2020,False,False,,,,47.7,49.0,,,46.2,64.3,True,44.5,49.1,,40.7,,,,
S10024,Liam,Smith,Female,19,Business,3,2020-2021,False,False,,,,51.3,,50.7,,45.4,62.8,True,43.5,,42.5,,,,45.1,39.0
S10024,Liam,Smith,Female,19,Business,4,2020-2021,False,False,54.6,39.7,,,,,,46.8,71.6,True,,,,,49.1,54.8,35.7,
S10025,Noah,Rodriguez,Male,25,Chemistry,1,2021-2022,False,True,,,,,,63.8,,64.3,79.9,False,65.2,68.8,,,,63.1,,60.5
S10025,Noah,Rodriguez,Male,25,Chemistry,2,2021-2022,False,True,54.7,,61.4,,,63.0,,60.1,82.8,False,,,56.5,64.8,,,,
S10025,Noah,Rodriguez,Male,25,Chemistry,3,2022-2023,False,True,62.3,,64.2,,63.3,,,62.7,74.2,False,,59.4,,64.1,,,65.0,60.6
S10025,Noah,Rodriguez,Male,25,Chemistry,4,2022-2023,False,True,,,,68.2,68.4,64.5,,64.4,87.5,False,65.6,,,,,,65.3,54.7
S10026,Liam,Johnson,Female,23,Psychology,1,2021-2022,False,True,,81.9,,76.2,,70.1,72.9,76.1,83.5,False,,79.4,,,,,,
S10026,Liam,Johnson,Female,23,Psychology,2,2021-2022,False,True,,,75.5,74.7,76.3,72.3,,75.3,82.3,False,,,,,72.6,,80.2,
S10026,Liam,Johnson,Female,23,Psychology,3,2022-2023,False,True,,,92.5,,74.6,84.6,,82.7,82.9,False,,81.8,,,,,80.2,
S10026,Liam,Johnson,Female,23,Psychology,4,2022-2023,False,True,78.8,,79.9,,82.8,76.4,,82.5,83.6,False,,92.1,,,85.1,,,
S10027,Charlotte,Hernandez,Male,18,Psychology,1,2023-2024,False,True,,,59.3,,58.9,,71.1,65.2,81.7,False,,,65.6,,,70.9,,
S10027,Charlotte,Hernandez,Male,18,Psychology,2,2023-2024,False,True,58.4,66.9,,,,65.2,,61.1,78.2,False,,60.8,,54.2,,,,
S10027,Charlotte,Hernandez,Male,18,Psychology,3,2024-2025,False,True,,,64.9,63.0,67.5,,,63.6,82.7,False,55.4,,,64.0,65.1,65.2,,
S10027,Charlotte,Hernandez,Male,18,Psychology,4,2024-2025,False,True,,53.8,63.4,64.2,,61.7,63.1,60.9,73.1,False,,,64.4,55.7,,,,
S10028,Noah,Brown,Male,25,Physics,1,2021-2022,True,False,,,,88.7,,,83.8,85.6,86.9,False,,84.1,84.1,,,87.4,,
S10028,Noah,Brown,Male,25,Physics,2,2021-2022,True,False,,,,,81.8,,,83.1,87.1,False,82.5,85.1,,,,,84.5,81.7
S10028,Noah,Brown,Male,25,Physics,3,2022-2023,True,False,,,,,,83.1,,85.2,90.5,False,,79.5,81.8,,,90.3,91.2,
S10028,Noah,Brown,Male,25,Physics,4,2022-2023,True,False,,,,89.2,84.4,88.4,89.3,85.5,86.9,False,,,85.3,76.6,,,,
S10029,James,Brown,Male,25,Business,1,2018-2019,True,True,95.7,86.0,85.7,,,85.6,,90.4,90.0,False,,,,,85.2,99.3,95.1,
S10029,James,Brown,Male,25,Business,2,2018-2019,True,True,82.8,95.6,,,,,81.1,86.2,86.4,False,,89.0,,87.7,,83.2,,84.0
S10029,James,Brown,Male,25,Business,3,2019-2020,True,True,,,82.2,91.2,,,,88.1,93.3,False,,,,92.8,,,86.8,87.6
S10029,James,Brown,Male,25,Business,4,2019-2020,True,True,84.7,85.2,,100.0,,90.3,,89.7,88.3,False,,88.7,,,,89.3,,
S10030,Liam,Brown,Male,24,Engineering,1,2021-2022,True,False,56.8,61.9,,,,56.4,,59.9,80.4,False,55.4,56.7,,65.5,,66.7,,
S10030,Liam,Brown,Male,24,Engineering,2,2021-2022,True,False,,61.0,57.6,56.5,,60.6,,60.5,79.0,False,,67.3,52.0,,,,,68.5
S10030,Liam,Brown,Male,24,Engineering,3,2022-2023,True,False,,,,52.7,,,,59.9,73.6,False,,58.7,,69.6,,62.9,,55.6
S10030,Liam,Brown,Male,24,Engineering,4,2022-2023,True,False,,,60.7,,68.5,,59.5,61.0,83.2,False,,,,,59.4,57.0,,
S10031,Emma,Williams,Female,18,Psychology,1,2020-2021,False,False,100.0,99.6,,100.0,100.0,,,99.8,100.0,False,,99.3,,100.0,,,,100.0
S10031,Emma,Williams,Female,18,Psychology,2,2020-2021,False,False,,,,,,,100.0,100.0,97.7,False,100.0,,,100.0,100.0,100.0,100.0,100.0
S10031,Emma,Williams,Female,18,Psychology,3,2021-2022,False,False,97.9,,,100.0,,,,99.6,98.6,False,,100.0,,100.0,100.0,,,
S10031,Emma,Williams,Female,18,Psychology,4,2021-2022,False,False,100.0,100.0,,,95.2,,,99.2,100.0,False,100.0,,100.0,,100.0,,,
S10032,Sophia,Lopez,Female,20,Chemistry,1,2020-2021,True,True,,61.7,,61.8,,,,62.8,80.8,False,,,68.5,,,62.0,,60.1
S10032,Sophia,Lopez,Female,20,Chemistry,2,2020-2021,True,True,,,61.6,57.1,61.5,66.0,,60.2,83.8,False,,,,,58.4,55.5,,61.2
S10032,Sophia,Lopez,Female,20,Chemistry,3,2021-2022,True,True,68.4,57.8,,,62.5,,,60.0,87.2,False,,,,,,57.8,60.3,53.0
S10032,Sophia,Lopez,Female,20,Chemistry,4,2021-2022,True,True,,,,58.1,62.8,,55.5,57.2,79.0,False,53.3,,,64.1,,49.6,,
S10033,Oliver,Lopez,Male,23,Computer Science,1,2018-2019,False,True,65.6,,64.6,55.9,,,55.0,57.4,72.2,False,48.8,,,,,60.8,,51.0
S10033,Oliver,Lopez,Male,23,Computer Science,2,2018-2019,False,True,,58.9,60.9,50.9,58.4,,,58.2,81.7,False,56.9,,,,56.7,,,64.4
S10033,Oliver,Lopez,Male,23,Computer Science,3,2019-2020,False,True,,61.1,,,,60.1,65.2,61.3,83.1,False,,,,,,60.7,,59.6
S10033,Oliver,Lopez,Male,23,Computer Science,4,2019-2020,False,True,,59.6,70.8,,,,,62.2,85.8,False,,,,,55.3,,63.2,62.2
S10034,Emma,Rodriguez,Male,20,Mathematics,1,2022-2023,True,True,61.3,57.4,62.4,,,55.1,,61.6,77.5,False,,,68.8,,61.2,,,65.2
S10034,Emma,Rodriguez,Male,20,Mathematics,2,2022-2023,True,True,68.5,,59.8,66.7,52.5,,56.7,62.1,79.6,False,,,,,68.4,,,
S10034,Emma,Rodriguez,Male,20,Mathematics,3,2023-2024,True,True,,72.1,,,,64.6,58.8,65.6,79.9,False,,,,63.5,69.0,,,
S10034,Emma,Rodriguez,Male,20,Mathematics,4,2023-2024,True,True,54.4,,,,,59.6,63.4,60.8,78.4,False,,,,,65.6,,,61.2
S10035,Sophia,Johnson,Male,18,Arts,1,2018-2019,False,False,93.9,,,,,,98.1,94.3,89.8,False,,,,92.2,,95.7,94.3,91.4
S10035,Sophia,Johnson,Male,18,Arts,2,2018-2019,False,False,,,94.2,,,95.5,,94.7,90.4,False,96.3,94.6,93.0,,,,,
S10035,Sophia,Johnson,Male,18,Arts,3,2019-2020,False,False,92.1,91.6,97.7,,,,87.8,94.4,90.6,False,100.0,99.7,92.1,,,,,
S10035,Sophia,Johnson,Male,18,Arts,4,2019-2020,False,False,,,88.2,,99.7,,,94.2,95.2,False,,89.5,90.9,97.2,100.0,,93.7,
S10036,Ava,Brown,Female,21,Biology,1,2021-2022,True,False,,,,,,66.3,69.6,66.7,78.9,False,70.6,62.5,70.8,,,,68.2,59.2
S10036,Ava,Brown,Female,21,Biology,2,2021-2022,True,False,,,,60.2,,76.0,,69.1,79.0,False,,75.4,,72.8,,68.7,61.4,
S10036,Ava,Brown,Female,21,Biology,3,2022-2023,True,False,,,,73.0,,67.4,,69.2,88.2,False,66.7,,59.7,,72.0,70.8,75.0,
S10036,Ava,Brown,Female,21,Biology,4,2022-2023,True,False,64.4,,70.0,,69.5,,,67.0,81.2,False,,,64.2,64.8,,,68.9,
S10037,James,Garcia,Male,18,Engineering,1,2022-2023,True,True,,80.3,73.5,86.0,,,67.9,80.1,86.8,False,,84.9,,,87.9,,,
S10037,James,Garcia,Male,18,Engineering,2,2022-2023,True,True,,,,88.0,75.7,84.6,,81.5,89.0,False,,82.0,83.9,,,,79.9,76.6
S10037,James,Garcia,Male,18,Engineering,3,2023-2024,True,True,,,,,,74.4,80.1,81.2,92.8,False,,75.8,79.7,,87.2,89.7,,
S10037,James,Garcia,Male,18,Engineering,4,2023-2024,True,True,,92.6,,,,,,84.2,89.8,False,80.6,,84.1,80.4,87.3,,84.3,80.4
S10038,Isabella,Brown,Female,20,Economics,1,2018-2019,True,False,63.1,,,,66.5,,61.8,63.8,78.5,False,62.6,62.5,,,,66.5,,
S10038,Isabella,Brown,Female,20,Economics,2,2018-2019,True,False,,,,,,64.5,67.8,62.5,78.2,False,52.8,,63.2,,73.3,48.3,67.4,
S10038,Isabella,Brown,Female,20,Economics,3,2019-2020,True,False,65.9,68.4,,,,57.5,59.7,63.6,78.0,False,,,,57.6,,,,72.4
S10038,Isabella,Brown,Female,20,Economics,4,2019-2020,True,False,,,,,63.6,,67.2,64.9,90.9,False,,,,64.6,,63.9,,65.3
S10039,Ava,Williams,Female,22,Arts,1,2023-2024,True,False,67.4,73.6,,,,72.4,,72.2,75.0,False,72.0,,,75.7,,,,
S10039,Ava,Williams,Female,22,Arts,2,2023-2024,True,False,68.0,,,,,74.6,,67.4,82.8,False,,68.1,,71.9,,62.7,66.1,60.7
S10039,Ava,Williams,Female,22,Arts,3,2024-2025,True,False,,,,65.2,72.4,,,68.8,84.2,False,68.7,60.3,,,74.5,69.4,71.3,
S10039,Ava,Williams,Female,22,Arts,4,2024-2025,True,False,,,,,66.5,,,67.9,75.2,False,73.3,,65.7,71.1,64.9,,65.6,
S10040,Charlotte,Johnson,Male,22,Mathematics,1,2018-2019,True,False,40.7,,,53.7,,41.5,42.5,42.7,63.7,True,,,,34.9,,,,
S10040,Charlotte,Johnson,Male,22,Mathematics,2,2018-2019,True,False,,42.3,57.0,,,50.7,,49.8,57.9,True,,,,,53.9,,44.1,50.6
S10040,Charlotte,Johnson,Male,22,Mathematics,3,2019-2020,True,False,38.8,,57.2,,,,,48.4,77.3,True,57.9,37.5,50.8,,,,,
S10040,Charlotte,Johnson,Male,22,Mathematics,4,2019-2020,True,False,,49.5,48.7,,,,,48.3,70.0,True,,48.5,,50.0,46.2,,47.1,
S10041,Ava,Martinez,Male,23,Chemistry,1,2023-2024,False,False,,55.2,53.8,48.8,,,,51.0,81.6,False,,,49.3,,,45.8,52.9,
S10041,Ava,Martinez,Male,23,Chemistry,2,2023-2024,False,False,,,46.4,,,,,52.6,73.5,False,,59.0,,49.3,,,49.4,58.9
S10041,Ava,Martinez,Male,23,Chemistry,3,2024-2025,False,False,,,,47.6,54.8,,,52.0,76.2,False,57.0,,,,49.4,,51.3,
S10041,Ava,Martinez,Male,23,Chemistry,4,2024-2025,False,False,,,54.2,,,61.1,,55.1,75.3,False,56.5,,55.4,57.1,,,46.3,
S10042,Ava,Smith,Male,24,Biology,1,2018-2019,True,False,,,,,62.1,57.9,64.2,61.5,74.9,False,61.7,,,,,,61.7,
S10042,Ava,Smith,Male,24,Biology,2,2018-2019,True,False,,,54.4,55.2,,,,59.1,82.7,False,70.2,,57.9,,58.0,,,
S10042,Ava,Smith,Male,24,Biology,3,2019-2020,True,False,,,,60.0,62.9,,,61.2,89.0,False,57.3,,67.7,,58.1,,,
S10042,Ava,Smith,Male,24,Biology,4,2019-2020,True,False,64.6,60.8,63.5,,,,,61.3,78.4,False,55.5,,,,63.0,,60.5,
S10043,Amelia,Williams,Female,20,Engineering,1,2022-2023,False,True,54.1,72.0,65.8,,,,,62.1,90.9,False,,,,60.6,,,58.2,
S10043,Amelia,Williams,Female,20,Engineering,2,2022-2023,False,True,,,,,69.1,,,64.4,76.1,False,63.8,69.4,57.0,,,,58.2,69.2
S10043,Amelia,Williams,Female,20,Engineering,3,2023-2024,False,True,,,,,,57.7,,57.3,78.2,False,,,,54.9,,58.1,60.0,55.9
S10043,Amelia,Williams,Female,20,Engineering,4,2023-2024,False,True,,,53.2,,65.2,,,58.6,79.9,False,51.0,62.6,,,57.1,,62.2,
